"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-28,86.619089965646,0.0302422327629878,-0.00291869664697951,-5.81906208356808e-05,0.00833330353882182,-12
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-29,86.377046875011,-0.279433887761945,NA,0.000285150635187594,NA,-11
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-01,86.7907287346828,0.478925680650326,NA,-0.00379025877315467,NA,-10
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-02,86.6963278300821,-0.10876842028751,-0.0017578402584482,-0.00622822821069104,0.00826453481421905,-9
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-03,86.3778845501669,-0.367308844429122,0.00787883430219497,0.0018275841805253,0,-8
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-04,86.6689996178077,0.337025002588133,-0.000779824357780814,-0.00683653896915197,-0.00819679214021136,-7
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-05,86.6639749755796,-0.00579750804815002,-0.00457677633237851,0.00473967238675732,0.00826453481421905,-6
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-08,86.8756383898193,0.244234601862368,-0.000434367704304357,0.00182520368215005,-0.00819679214021136,-5
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-09,86.7257972730365,-0.17247771591673,-0.00191271314454365,0.00103269112853777,0,-4
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-10,87.4475587528074,0.83223389402645,-0.00321755143087381,-0.00948685409822143,0,-3
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-11,87.6763116161967,0.261588621399862,-0.00474460875977877,0.00334051341531264,0,-2
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-04-12,88.3104933223873,0.723321607057062,0.00462708886125274,-0.0117958956181197,0,-1
